BrawlerPower               = Очки силы
obt_bonus                  = Бонус:
brawlers                   = бравлеров
ads_get                    = Получить
gems                       = Гемы
coins                      = Монеты
new_brawler                = Новый бравлер
obtained                   = Получено
remaing_items              = Осталось предметов:
not_enough_coins_message   = Вам не хватает монет \n Хотите получить их сейчас?
not_enough_gems_message    = Вам не хватает гемов \n Хотите получить их сейчас?
tickets                    = Билеты
of                         = из
settings                   = Настройки
inventory                  = Бравлеры
box_open                   = Открыть
level                      = Ваш уровень
IF_ads                     = Попробуйте Infinity Flyer
ED_ads                     = Попробуйте Escape Danny
EnterYourNickname          = Введите ваш никнейм
NicknameWarn               = Ник должен быть больше 2х символов
Statistics                 = Статистика
Open_Total                 = Всего открыто сундуков
Open_Free                  = Открыто бесплатных сундуков
Open_Big                   = Открыто больших сундуков
Open_Mega                  = Открыто мега сундуков
Open_Epic                  = Открыто ультра сундуков
NickChange                 = Сменить ник
